,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening,Rounds
232,"So, Wesley","Perez Ponsa, Federico",2782,2585,2016.09.04,team-swiss,1-0,E99,3.3
233,"So, Wesley","Vachier Lagrave, Maxime",2788,2789,2017.12.01,k.o. (blitz),1/2-1/2,A04,1
234,"Topalov, Veselin","So, Wesley",2803,2668,2010.09.29,team-swiss,1/2-1/2,D87,8.1
235,"So, Wesley","Shirov, Alexei",2772,2704,2022.02.06,,1-0,D12,3.2
236,"Duda, Jan Krzysztof","So, Wesley",2737,2780,2018.11.30,,1-0,A36,3.16
237,"So, Wesley","Artemiev, Vladislav",2772,2704,2021.08.01,,1-0,,7.6
238,"So, Wesley","Adhiban, Baskaran",2516,2406,2007.08.08,swiss,1-0,C30,7
239,"Artemiev, Victor","So, Wesley",2746,2767,2019.12.05,,1/2-1/2,E10,3.5
240,"Nakamura, Hikaru","So, Wesley",2777,2780,2018.12.02,,1-0,A07,4.15
241,"L'Ami, Erwin","So, Wesley",2615,2656,2010.01.17,tourn,1/2-1/2,D27,2
242,"Gonzales, Jayson","So, Wesley",2468,2540,2008.04.27,swiss,0-1,A38,3
243,"So, Wesley","Van Foreest, Jorden",2770,2673,2020.10.03,swiss (blitz),1-0,B40,11
244,"Dominguez Perez, Leinier","So, Wesley",2739,2788,2017.11.12,match (blitz),1-0,C42,8.3
245,"So, Wesley","Carlsen, Magnus",2815,2832,2017.11.18,k.o. (blitz),0-1,D02,3.13
246,"Naiditsch, Arkadij","So, Wesley",2687,2656,2010.01.16,tourn,1/2-1/2,A18,1
247,"Navara, David","So, Wesley",2738,2765,2019.02.20,match (rapid),1/2-1/2,C65,3.3
248,"So, Wesley","Le, Quang Liem",2770,2709,2020.09.26,,1/2-1/2,B12,3.1
249,"So, Wesley","Kramnik, Vladimir",,,2017.04.25,,1-0,A14,?
250,"Korobov, Anton","So, Wesley",2670,2760,2019.11.09,blitz,1/2-1/2,E54,5.1
251,"Iturrizaga Bonelli, Eduardo","So, Wesley",2616,2656,2010.02.17,swiss,1/2-1/2,D10,9
252,"Nakamura, Hikaru","So, Wesley",2736,2770,2020.09.18,blitz,1/2-1/2,C65,8.1
253,"Vachier Lagrave, Maxime","So, Wesley",2792,2772,2019.05.09,blitz,1/2-1/2,,6.3
254,"So, Wesley","Nakamura, Hikaru",2767,2745,2020.02.21,,1-0,C65,4.16
255,"Carlsen, Magnus","So, Wesley",2881,2741,2021.04.26,,1/2-1/2,,14.6
256,"So, Wesley","Topalov, Veselin",2771,2761,2016.08.11,,*,A20,6.1
257,erigaisi arjun,"So, Wesley",2559,2770,2020.10.03,swiss (blitz),0-1,E05,10
258,"Vidit, Santosh Gujrathi","So, Wesley",2718,2780,2018.10.09,,1-0,E05,2.18
259,"So, Wesley","Giri, Anish",2815,2785,2017.05.25,k.o. (blitz),1-0,D42,1.3
260,"Vachier Lagrave, Maxime","So, Wesley",2761,2778,2022.03.27,,0-1,E20,5.1
261,"So, Wesley","Li, Ruofan",2531,2417,2007.12.02,swiss,1-0,C28,3
262,"Carlsen, Magnus","So, Wesley",2832,2815,2017.11.18,k.o. (blitz),1-0,D04,3.8
263,"So, Wesley","Kramnik, Vladimir",2812,2808,2017.06.05,tourn (blitz),1/2-1/2,D00,4
264,"So, Wesley","Carlsen, Magnus",2760,2870,2019.11.26,blitz,1/2-1/2,A56,18.3
265,"Geetha, Narayanan Gopal","So, Wesley",2604,2665,2010.04.26,,1/2-1/2,A00,6.1
266,"Lesiege, Alexandre","So, Wesley",2525,2822,2017.03.25,,1/2-1/2,D35,4.6
267,"Robson, Ray","So, Wesley",2660,2786,2018.04.28,,1/2-1/2,C84,10
268,"So, Wesley","Xiong, Jeffery",2778,2685,2022.04.22,k.o.,1-0,E60,1.1
269,"So, Wesley","Naroditsky, Daniel",2788,2633,2015.04.01,tourn,1-0,E27,1
270,"Jumabayev, Rinat","So, Wesley",2630,2767,2019.10.11,swiss,1/2-1/2,E04,2.17
271,"Jones, Owain","So, Wesley",2666,2726,2015.02.22,,0-1,C50,2
272,"Carlsen, Magnus","So, Wesley",2847,2770,2021.05.31,,1-0,,24.1
273,"Sevian, Samuel","So, Wesley",2693,2778,2022.04.16,rapid,0-1,D30,4
274,"Artemiev, Victor","So, Wesley",2746,2767,2019.12.05,,1/2-1/2,E20,3.3
275,"So, Wesley","Kramnik, Vladimir",,,2016.06.12,tourn (rapid),1-0,,18
276,"So, Wesley","Nakamura, Hikaru",2767,2745,2020.02.21,,1-0,C65,4.10
277,"Abdusattorov, Nodirbek","So, Wesley",2662,2816,2020.11.08,,1-0,,3.5
278,"Lehmann, Marco","So, Wesley",2279,2516,2007.08.05,swiss,0-1,B30,1
