,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening
250,"Topalov, Veselin","Radjabov, Teimour",2793,2745,2013.05.09,tourn,1/2-1/2,B30
251,"Topalov, Veselin","Ivanchuk, Vassily",2700,2714,1999.01.24,,1/2-1/2,B80
252,"Topalov, Veselin","Macieja, Bartlomiej",2743,2629,2003.03.05,swiss (rapid),1/2-1/2,C42
253,"Topalov, Veselin","Hou, Yifan",2736,2659,2019.11.30,,0-1,
254,"Bacrot, Etienne","Topalov, Veselin",2649,2739,2002.04.08,k.o. (rapid),0-1,A29
255,"Kasimdzhanov, Rustam","Topalov, Veselin",2652,2737,2004.07.05,k.o.,1-0,B40
256,"Topalov, Veselin","Nikolic, Predrag",2645,2655,1994.12.16,,1/2-1/2,C19
257,"Topalov, Veselin","Lupulescu, Constantin",2772,2625,2014.08.05,team-swiss,1-0,C11
258,"Topalov, Veselin","Magem Badals, Jordi",,,1995.??.??,,1/2-1/2,B14
259,"Ivanchuk, Vassily","Topalov, Veselin",2729,2801,2006.02.23,,0-1,D15
260,"Topalov, Veselin","Moreira Romero, Jairo",2745,2180,1997.??.??,,0-1,D38
261,"Chernin, Alexander","Topalov, Veselin",2600,2475,1990.??.??,,1/2-1/2,A40
262,"Agdestein, Simen","Topalov, Veselin",2628,2772,2014.06.02,tourn (blitz),1-0,E70
263,"Ivanchuk, Vassily","Topalov, Veselin",2725,2745,1997.07.07,tourn,1/2-1/2,B23
264,"Ivanisevic, Ivan","Topalov, Veselin",2619,2774,2013.11.01,tourn (rapid),0-1,E61
265,"Topalov, Veselin","Lautier, Joel",2700,2630,1996.03.30,match,1-0,D28
266,"Polgar, Judit","Topalov, Veselin",2710,2813,2006.12.07,,1/2-1/2,B33
267,"Topalov, Veselin","Aronian, Levon",2767,2763,2008.05.14,tourn,1-0,D47
268,"Topalov, Veselin","Arnaiz Yanes, Miguel Angel",2745,,1997.??.??,,1-0,A39
269,"Topalov, Veselin","Shirov, Alexei",2725,2690,1997.??.??,,1/2-1/2,C78
270,"Topalov, Veselin","Bacrot, Etienne",2739,2649,2002.04.08,,1/2-1/2,D13
271,"Polgar, Judit","Topalov, Veselin",2645,2725,1997.04.10,tourn,1/2-1/2,C78
272,"Topalov, Veselin","Luther, Thomas",2475,2385,1990.??.??,,1/2-1/2,E32
273,"Chadaev, Nikolai","Topalov, Veselin",2580,2752,2012.07.09,tourn (blitz),1-0,B27
274,"Caruana, Fabiano","Topalov, Veselin",2808,2749,2017.06.25,tourn (rapid),0-1,B34
275,"Morozevich, Alexander","Topalov, Veselin",2721,2801,2006.03.26,rapid,1-0,E16
276,"Topalov, Veselin","Cheparinov, Ivan",2738,2686,2020.01.25,,1/2-1/2,C50
