,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening,Rounds
193,"Forcen Esteban, Daniel","Rapport, Richard",2469,2646,2013.03.30,,0-1,B12,4.3
194,"Wei, Yi","Rapport, Richard",2732,2763,2021.04.29,rapid,1/2-1/2,C67,1.2
195,"Rapport, Richard","Bhend, Edwin",2716,2188,2015.01.01,swiss,1-0,D02,1.2
196,"Ding, Liren","Rapport, Richard",2781,2694,2017.09.16,,1-0,E18,5
197,"Rabiega, Robert","Rapport, Richard",2498,2729,2016.10.16,,1-0,C55,2.5
198,"Rapport, Richard","Asadli, Vugar",2763,2579,2021.12.22,blitz,1-0,B15,4.2
199,"Rapport, Richard","Ragger, Markus",2534,2662,2011.12.01,match,1/2-1/2,D45,3
200,"Rapport, Richard","Ju, Wenjun",2762,2560,2022.03.19,,0-1,,1
201,"Naiditsch, Arkadij","Rapport, Richard",2718,2691,2014.01.26,tourn,1-0,B06,11
202,"Bauer, Christian","Rapport, Richard",2627,2693,2015.11.07,team-tourn,0-1,B43,3.5
203,"Fedoseev, Vladimir","Rapport, Richard",2683,2736,2019.05.18,blitz,0-1,C41,14.2
204,"Dominguez Perez, Leinier","Rapport, Richard",2752,2730,2016.11.09,swiss,1/2-1/2,C17,4.2
205,"Rapport, Richard","Shankland, Samuel L",2735,2731,2019.02.23,match (blitz),0-1,D03,7.5
206,"Grischuk, Alexander","Rapport, Richard",2750,2698,2017.08.03,k.o. (blitz),1-0,B06,1.22
207,"Rapport, Richard","Schreiner, Peter",2693,2422,2015.11.08,team-tourn,1-0,A34,4.3
208,"Cosovic, Aziz","Rapport, Richard",2059,2552,2011.05.04,swiss,0-1,C44,2
209,"Timofeev, Artyom","Rapport, Richard",2677,2509,2010.05.08,swiss,1-0,B12,4
210,"Rapport, Richard","Rajendran Venkatesh, Marani",2716,2460,2015.01.30,,1-0,A45,4.22
211,"Rapport, Richard","Grischuk, Alexander",2698,2750,2017.08.03,,1/2-1/2,A45,1.5
212,"Rapport, Richard","Lenderman, Aleksandr",2715,2600,2018.03.12,,1-0,B40,7.1
213,"Rapport, Richard","Majdanics, Antal",2012,2180,2006.11.12,team,1-0,C42,1
214,"Rapport, Richard","Liu, Yan",2717,2403,2016.12.14,swiss,1-0,B30,7
215,"Wojtaszek, Radoslaw","Rapport, Richard",2686,2763,2022.02.04,,0-1,,1
216,"Rapport, Richard","Vachier Lagrave, Maxime",2763,2760,2021.06.19,rapid,1/2-1/2,D02,5.4
217,"Socko, Bartosz","Rapport, Richard",2622,2701,2014.06.13,schev,0-1,B28,6.5
218,"Rapport, Richard","Nihal, Sarin",2763,2650,2021.12.02,,1-0,D40,2.25
219,"Haba, Petr","Rapport, Richard",2439,2759,2021.03.12,team,0-1,C02,5.3
220,"Laznicka, Viktor","Rapport, Richard",2654,2686,2018.04.29,team-tourn,0-1,E61,13.4
221,"Rapport, Richard","Wang, Hao",2735,2737,2019.07.01,tourn,1/2-1/2,,2.4
222,"Rapport, Richard","Palac, Mladen",2621,2600,2012.10.05,tourn (rapid),1-0,E46,3
223,"Rapport, Richard","Peng, Xiongjian",2717,2362,2016.12.11,swiss,1/2-1/2,D00,5
224,"Zueger, Beat","Rapport, Richard",2413,2577,2012.06.05,team-tourn,1/2-1/2,A10,6
225,"Rapport, Richard","Nihal, Sarin",2763,2650,2021.12.02,,0-1,D00,2.23
